ID;Name;global_id;OnTerritoryOfMoscow;AdmArea;District;Address;Longitude_WGS84;Latitude_WGS84;ContactPhone;GraveType;ObjectArea;ObjectStatus;geoData
20;Васюнино кладбище;1712681;да;Троицкий административный округ;поселение Роговское;деревня Васюнино;36.99186;55.24202;(495) 232-40-21;гробом в землю;0.4;закрытое;{type=Point, coordinates=[36.99186, 55.24202]}
21;Ватутинское кладбище;1712682;да;Новомосковский административный округ;поселение Десеновское;поселок Ватутинки;37.324094;55.499753;(495) 448-67-88;гробом в землю;3.4;закрытое;{type=Point, coordinates=[37.324094, 55.499753]}
22;Долгопрудненское (Южное) кладбище;1712683;нет;;;Московская область, г. Долгопрудный, Лихачевский проспект;37.494443;55.906987;(495) 408-80-98;урной в открытый колумбарий, урной в землю, гробом в землю;27.9;закрытое;{type=Point, coordinates=[37.494443, 55.906987]}
23;Вешняковское кладбище;1712684;да;Восточный административный округ;район Вешняки;Юности улица, дом 17;37.797930;55.723436;(495) 375-29-61;гробом в землю;7.5;закрытое;{type=Point, coordinates=[37.79793, 55.723436]}
24;Владыкинское кладбище;1712685;да;Северо-Восточный административный округ;район Марфино;Станционная улица, дом 8А;37.591009;55.845844;(495) 977-80-90;урной в открытый колумбарий, урной в землю, гробом в землю;1.4;закрытое;{type=Point, coordinates=[37.591009, 55.845844]}
25;Вороново кладбище;1712686;да;Троицкий административный округ;поселение Вороновское;вблизи с. Вороново;37.152352;55.314498;(495) 232-40-21;гробом в землю;1.4;закрытое;{type=Point, coordinates=[37.152352, 55.314498]}
26;Ворсино кладбище;1712687;да;Троицкий административный округ;поселение Вороновское;деревня Ворсино;37.24814;55.34398;(495) 232-40-21;гробом в землю;0.3;закрытое;{type=Point, coordinates=[37.24814, 55.34398]}
27;Востряковское (Центральное) кладбище;1712688;да;Западный административный округ;район Тропарёво-Никулино;Озерная улица, вл. 47, корпус 3, 4, 5, 6, 7, 8;37.442812;55.661690;(495) 437-47-00;урной в землю, гробом в землю;62;закрытое;{type=Point, coordinates=[37.442812, 55.66169]}
28;Востряковское (Северное) кладбище;1712689;да;Западный административный округ;район Тропарёво-Никулино;Озерная улица, вл. 47, корпус 3, 4, 5, 6, 7, 8;37.442726;55.662090;(495) 437-47-00;урной в землю, гробом в землю;25.9;закрытое;{type=Point, coordinates=[37.442726, 55.66209]}
29;Измайловское кладбище;1712690;да;Восточный административный округ;район Измайлово;Измайловский проезд, владение 30;37.769308;55.800888;(495) 791-05-39;гробом в землю;2.2;закрытое;{type=Point, coordinates=[37.769308, 55.800888]}
30;Гольяновское кладбище;1712691;да;Восточный административный округ;район Гольяново;Курганская улица, вл. 11;37.812444;55.830448;(495) 791-05-39;урной в открытый колумбарий, гробом в землю;1.97;закрытое;{type=Point, coordinates=[37.812444, 55.830448]}
31;Губцево кладбище;1712692;да;Троицкий административный округ;поселение Первомайское;деревня Губцево;37.242527;55.515113;(495) 952-47-37;гробом в землю;4;закрытое;{type=Point, coordinates=[37.242527, 55.515113]}
32;Даниловское (Центральное) кладбище;1712693;да;Южный административный округ;Донской район;4-й Рощинский проезд, вл. 30;37.610432;55.704192;(495) 952-29-63;урной в открытый колумбарий, урной в землю, гробом в землю;20.3;закрытое;{type=Point, coordinates=[37.610432, 55.704192]}
33;Даниловское (мусульманское) кладбище;1712694;да;Южный административный округ;Донской район;2-й Рощинский проезд, вл. 10;37.604054;55.704628;(495) 952-29-63;урной в открытый колумбарий, урной в землю, гробом в землю;4.2;закрытое;{type=Point, coordinates=[37.604054, 55.704628]}
34;Девятское кладбище;1712695;да;Новомосковский административный округ;поселение Рязановское;дер. Девятское;37.513948;55.460753;(495) 232-40-21;гробом в землю;5.96;закрытое;{type=Point, coordinates=[37.513948, 55.460753]}
35;Долгопрудненское (Центральное) кладбище;1712696;нет;;;Московская область, г. Долгопрудный, Лихачевский проезд;37.512071;55.920393;(495) 408-80-98;урной в открытый колумбарий, урной в землю, гробом в землю;60.4;закрытое;{type=Point, coordinates=[37.512071, 55.920393]}
36;Кунцевское кладбище;1712697;да;Западный административный округ;Можайский район;Рябиновая улица, вл. 20;37.420299;55.708501;(495) 440-69-84;урной в открытый колумбарий, урной в землю, гробом в землю;18.1;закрытое;{type=Point, coordinates=[37.420299, 55.708501]}
