number,type_of_vehicle,object_type,name_stopping,the_official_name,location,routes,coordinates
3807,Автобус,Остановка,"ПОС. ШУШАРЫ, ПУШКИНСКАЯ УЛ., 12","ПОС. ШУШАРЫ, ПУШКИНСКАЯ УЛ., 12",Пушкинская ул.,34,"59.805224,30.386437"
3808,Автобус,Остановка,"ПОС. ШУШАРЫ, ШКОЛЬНАЯ.","ПОС. ШУШАРЫ, ШКОЛЬНАЯ","Пушкинская ул., Витебский пр.",34,"59.811372,30.379772"
3809,Автобус,Остановка,"ПОС. ЮККИ,1","ПОС. ЮККИ,1",Юкки-Кузьмолово ш.,104,"60.109395,30.277301"
3810,Автобус,Остановка,"ПОС. ЮККИ,1","ПОС. ЮККИ,1",Юкки-Кузьмолово ш.,148,"60.109424,30.276030"
3811,Автобус,Остановка,"ПОС. ЮККИ,2 ","ПОС. ЮККИ,2 ",Юкки-Кузьмолово ш.,104,"60.110319,30.283221"
3812,Автобус,Остановка,"ПОС. ЮККИ,2 ","ПОС. ЮККИ,2 ","Ленинградское шоссе, Пионерская ул.","148,К-261,","60.110843,30.283419"
3813,Автобус,Остановка,"ПОС. ЮНОШЕСТВА, СПОРТБАЗА ЛГУ","ПОС. ЮНОШЕСТВА, СПОРТБАЗА ЛГУ","15-я ул., проспект Володарского",438,"59.664608,30.798132"
3814,Автобус,Остановка,"ПОС. ЮНОШЕСТВА, СПОРТБАЗА ЛГУ","ПОС. ЮНОШЕСТВА, СПОРТБАЗА ЛГУ","15-я ул., проспект Володарского",438,"59.664996,30.798170"
3815,Автобус,Остановка,"ПОС. ЯМ-ИЖОРА, 2 >","ПОС. ЯМ-ИЖОРА, 2 >",,544,"59.699390,30.588405"
3816,Автобус,Остановка,"ПОС.""КРАСНАЯ ЗАРЯ "" [476]","ПОС.""КРАСНАЯ ЗАРЯ """,,476,"59.837031,30.564268"
3817,Автобус,Остановка,"ПОС.""КРАСНАЯ ЗАРЯ "" [476]<","ПОС.""КРАСНАЯ ЗАРЯ """,,476,"59.838009,30.562894"
3818,Автобус,Остановка,"ПОС.БЕЛООСТРОВ, ЦЕНТРАЛЬНАЯ УЛ. 10","ПОС.БЕЛООСТРОВ, ЦЕНТРАЛЬНАЯ УЛ. 10",,"314,315","60.146112,29.996814"
3819,Автобус,Остановка,"ПОС.БЕЛООСТРОВ, ЦЕНТРАЛЬНАЯ УЛ. 10","ПОС.БЕЛООСТРОВ, ЦЕНТРАЛЬНАЯ УЛ. 10",,"314,315","60.146296,29.997127"
3820,Автобус,Остановка,ПОС.ДИНАМО [545],ПОС.ДИНАМО,,545,"59.653448,30.404960"
3821,Автобус,Остановка,"ПОС.ДРАНИШНИКИ,4 КМ","ПОС.ДРАНИШНИКИ,4 КМ",,"433,436,567,","60.129238,30.257453"
3822,Автобус,Остановка,"ПОС.ДРАНИШНИКИ,4 КМ<","ПОС.ДРАНИШНИКИ,4 КМ",,"433,436,567,","60.129225,30.257029"
3823,Автобус,Остановка,"ПОС.ЛЕБЯЖЬЕ, ПЕРВОМАЙСКАЯ УЛ.","ПОС.ЛЕБЯЖЬЕ, ПЕРВОМАЙСКАЯ УЛ.","Приморская улица, Строительная улица",406,"59.960717,29.426695"
3824,Автобус,Остановка,"ПОС.ЛЕБЯЖЬЕ, ПЕРВОМАЙСКАЯ УЛ.","ПОС.ЛЕБЯЖЬЕ, ПЕРВОМАЙСКАЯ УЛ.","Приморская улица, Первомайская улица",406,"59.960576,29.427150"
3825,Автобус,Остановка,"ПОС.ЛЕБЯЖЬЕ, ШКОЛА","ПОС.ЛЕБЯЖЬЕ, ШКОЛА","Советская улица, улица Степаняна",406,"59.961833,29.408561"
3826,Автобус,Остановка,"ПОС.ЛЕБЯЖЬЕ, ШКОЛА","ПОС.ЛЕБЯЖЬЕ, ШКОЛА","Приморская улица, улица Степаняна",406,"59.961599,29.410047"
3827,Автобус,Остановка,"ПОС.ПЕРВОМАЙСКОЕ, БОЛЬНИЦА","ПОС.ПЕРВОМАЙСКОЕ, БОЛЬНИЦА","Спичечная улица, улица Ленина",410,"60.363480,29.727607"
3828,Автобус,Остановка,ПОС.ПЕСКИ,ПОС.ПЕСКИ,Приморское шоссе,"420,420А,420Б,","60.168083,29.259471"
3829,Автобус,Остановка,"ПОС.РЕПИНО, ""ПЕНАТЫ""","ПОС.РЕПИНО, ""ПЕНАТЫ""",Приморское ш.,211,"60.155803,29.894137"
3830,Автобус,Остановка,"ПОС.РЕПИНО, ""ПЕНАТЫ""","ПОС.РЕПИНО, ""ПЕНАТЫ""",Приморское ш.,211,"60.155914,29.894284"
3831,Автобус,Остановка,"ПОС.СЕРОВО, 9 КМ  <","ПОС.СЕРОВО, 9 КМ",A-123,"213,318,319,","60.196070,29.562385"
3832,Автобус,Остановка,"ПОС.СЕРОВО, 9 КМ., ПО ТРЕБОВАНИЮ","ПОС.СЕРОВО, 9 КМ., ПО ТРЕБОВАНИЮ",A-123,"213,318,319,","60.196380,29.561527"
3833,Автобус,Остановка,"ПОС.ЯМ-ИЖОРА, 2","ПОС.ЯМ-ИЖОРА, 2",,544,"59.699097,30.587225"
3834,Автобус,Остановка,ПОСЕЛОК ПТИЦЕФАБРИКИ,ПОСЕЛОК ПТИЦЕФАБРИКИ,Ропшинское шоссе,"278,348,","59.856072,29.951917"
3835,Автобус,Остановка,ПОСЕЛОК ПТИЦЕФАБРИКИ <,ПОСЕЛОК ПТИЦЕФАБРИКИ,Ропшинское шоссе,"278,348,","59.855199,29.951745"
3836,Автобус,Остановка,ПОСТ ГАИ [476],ПОСТ ГАИ,,476,"59.786511,30.688510"
3837,Автобус,Остановка,ПОСТ ГАИ [476],ПОСТ ГАИ,,476,"59.786873,30.689588"
3838,Автобус,Остановка,ПОТЕМКИНСКАЯ УЛ. [22],ПОТЕМКИНСКАЯ УЛ.,"Кирочная ул., Потемкинская ул.","22,105,","59.943929,30.365925"
3839,Автобус,Остановка,ПОТЕМКИНСКАЯ УЛ. [22]<,ПОТЕМКИНСКАЯ УЛ.,"Кирочная ул., Потемкинская ул.","22,54,105,136,","59.943625,30.368341"
3840,Троллейбус,Остановка,Потемкинская ул. ,ПОТЕМКИНСКАЯ УЛ.,"Кирочная, Потемкинская",15,"59.943700,30.369200"
3841,Автобус,Остановка,"ПОТЕМКИНСКАЯ УЛ., УГ.ШПАЛЕРНАЯ УЛ. [46]","ПОТЕМКИНСКАЯ УЛ., УГ.ШПАЛЕРНАЯ УЛ.","Шпалерная ул., Потемкинская ул.",46,"59.948941,30.367158"
3842,Автобус,Остановка,ПОЧТА,ПОЧТА,"Дворцовый проспект, улица Ломоносова","1Л,200,349,","59.915330,29.772930"
3843,Автобус,Остановка,ПОЧТА,ПОЧТА,"Тарховский пр., 3-я Поперечная ул.",307,"60.076323,29.970992"
3844,Автобус,Остановка,ПОЧТАМТСКИЙ ПЕР. [70],ПОЧТАМТСКИЙ ПЕР.,"Конногвардейский бул., Якубовича ул.","70,100,","59.932996,30.298679"
3845,Троллейбус,Остановка,Почтамтский переулок ,ПОЧТАМТСКИЙ ПЕРЕУЛОК,"Конногвардейский, Якубовича","5,22,","59.933000,30.298600"
3846,Троллейбус,Остановка,Почтамтский переулок ,ПОЧТАМТСКИЙ ПЕРЕУЛОК,"Конногвардейский, Почтамтский","5,22,","59.933600,30.299800"
3847,Автобус,Остановка,"ПОЧТОВЫЙ ПЕР. [200, 210, 359]",ПОЧТОВЫЙ ПЕР.,Санкт-Петербургское ш.,"162,163,200,201,210,359,","59.851464,30.053288"
3848,Автобус,Остановка,"ПОЧТОВЫЙ ПЕР. [200, 210, 359]<",ПОЧТОВЫЙ ПЕР.,Санкт-Петербургское ш.,"162,163,200,201,210,359,","59.851301,30.054836"
3849,Автобус,Остановка,"ПОЭТИЧЕСКИЙ БУЛЬВАР [143, 178]",ПОЭТИЧЕСКИЙ БУЛЬВАР,"Художников пр., Поэтический бул.","60,143,178,198,","60.043492,30.350140"
3850,Автобус,Остановка,"ПОЭТИЧЕСКИЙ БУЛЬВАР [143, 178]<",ПОЭТИЧЕСКИЙ БУЛЬВАР,"Художников пр., Поэтический бул.","143,178,198,","60.043017,30.349092"
3851,Троллейбус,Остановка,Поэтический бульвар ,ПОЭТИЧЕСКИЙ БУЛЬВАР,"Есенина, Поэтический",13,"60.045614,30.337069"
3852,Троллейбус,Остановка,Поэтический бульвар ,ПОЭТИЧЕСКИЙ БУЛЬВАР,"улица Есенина, Поэтический бульвар",13,"60.046119,30.337750"
3853,Троллейбус,Остановка,Поэтический бульвар ,ПОЭТИЧЕСКИЙ БУЛЬВАР,"проспект Художников, Поэтический бульвар","4,21","60.043160,30.349170"
3854,Троллейбус,Остановка,Поэтический бульвар ,ПОЭТИЧЕСКИЙ БУЛЬВАР,"Художников, Поэтический","4,21","60.043500,30.350200"
3855,Трамвай,Остановка,Пр. Авиаконструкторов T ,ПР. АВИАКОНСТРУКТОРОВ,"Стародеревенская, Ильюшина",18,"60.008047,30.248369"
3856,Трамвай,Остановка,Пр. Авиаконструкторов Т ,ПР. АВИАКОНСТРУКТОРОВ,"ул. Ильюшина, проспект Авиаконструкторов","47,55,","60.008350,30.249170"
3857,Автобус,Остановка,"ПР. АВИАКОНСТРУКТОРОВ, 32","ПР. АВИАКОНСТРУКТОРОВ, 32",Авиаконструкторов пр.,"79,85,127,170,182,","60.027507,30.221964"
3858,Автобус,Остановка,"ПР. АВИАКОНСТРУКТОРОВ, 47'","ПР. АВИАКОНСТРУКТОРОВ, 47",Авиаконструкторов пр.,"79,85,127,","60.027851,30.222640"
3859,Автобус,Остановка,"ПР. АВИАКОНСТРУКТОРОВ,УГ. ШУВАЛОВСКОГО ПР. [85, 127]<","ПР. АВИАКОНСТРУКТОРОВ,УГ. ШУВАЛОВСКОГО ПР.","Авиаконструкторов пр., Шуваловский пр.","79,85,127,","60.025558,30.228141"
3860,Автобус,Остановка,ПР. АВИАКОНСТРУКТОРОВ. ПОЛИТЕХНИЧЕСКИЙ КОЛЛЕДЖ,ПР. АВИАКОНСТРУКТОРОВ. ПОЛИТЕХНИЧЕСКИЙ КОЛЛЕДЖ,"ул. Шаврова, пр. Авиаконструкторов",182,"60.022970,30.230890"
3861,Автобус,Остановка,ПР. АВИАКОНСТРУКТОРОВ. ПОЛИТЕХНИЧЕСКИЙ КОЛЛЕДЖ,ПР. АВИАКОНСТРУКТОРОВ. ПОЛИТЕХНИЧЕСКИЙ КОЛЛЕДЖ,"пр. Авиаконструкторов, Шуваловский пр.","85,171,182,","60.024780,30.228740"
3862,Автобус,Остановка,ПР. АВИАКОНСТРУКТОРОВ. ПОЛИТЕХНИЧЕСКИЙ КОЛЛЕДЖ,ПР. АВИАКОНСТРУКТОРОВ. ПОЛИТЕХНИЧЕСКИЙ КОЛЛЕДЖ,"ул. Шаврова, пр. Авиаконструкторов","85,171,182,","60.023150,30.232150"
3863,Автобус,Остановка,ПР. АВИАКОНСТРУКТОРОВ. ПОЛИТЕХНИЧЕСКИЙ КОЛЛЕДЖ,ПР. АВИАКОНСТРУКТОРОВ. ПОЛИТЕХНИЧЕСКИЙ КОЛЛЕДЖ,"проспект Авиаконструкторов, улица Шаврова","85,171,","60.023470,30.231342"
3864,Автобус,Остановка,ПР. БАКУНИНА,ПР. БАКУНИНА,"ул. Исполкомская, пр. Бакунина","46,55,","59.931605,30.383141"
3865,Автобус,Остановка,ПР. БАКУНИНА,ПР. БАКУНИНА,"ул. Исполкомская, пр. Бакунина","46,55,","59.931427,30.382905"
3866,Автобус,Остановка,ПР. БОЛЬШЕВИКОВ,ПР. БОЛЬШЕВИКОВ,"Большевиков пр., Народная ул.","469,485,","59.885486,30.489420"
3867,Автобус,Остановка,"ПР. БОЛЬШЕВИКОВ, 55","ПР. БОЛЬШЕВИКОВ, 55","проспект Большевиков, Народная улица",4,"59.884308,30.488479"
3868,Автобус,Остановка,"ПР. БОЛЬШЕВИКОВ, УГ. УЛ. ПОДВОЙСКОГО","ПР. БОЛЬШЕВИКОВ, УГ. УЛ. ПОДВОЙСКОГО","ул. Подвойского, пр. Большевиков","19,97,161,164,","59.913325,30.477745"
3869,Автобус,Остановка,"ПР. БОЛЬШЕВИКОВ, УНИВЕРСАМ","ПР. БОЛЬШЕВИКОВ, УНИВЕРСАМ",проспект Большевиков,19,"59.915577,30.474071"
3870,Автобус,Остановка,"ПР. БОЛЬШЕВИКОВ,33 [140]","ПР. БОЛЬШЕВИКОВ,33",Большевиков пр.,"4,97,140,","59.895027,30.491227"
3871,Автобус,Остановка,"ПР. БОЛЬШЕВИКОВ,33 [140]<","ПР. БОЛЬШЕВИКОВ,33",пр. Большевиков,"4,97,140,","59.895355,30.491846"
3872,Автобус,Остановка,"ПР. БОЛЬШЕВИКОВ,77 [8]","ПР. БОЛЬШЕВИКОВ,77",Большевиков пр.,"4,8,","59.874744,30.478675"
3873,Автобус,Остановка,"ПР. БОЛЬШЕВИКОВ,77 [8]<","ПР. БОЛЬШЕВИКОВ,77",пр. Большевиков,"4,8,","59.874139,30.479017"
3874,Автобус,Остановка,"ПР. БУДЕННОГО [210, 200, 229]",ПР. БУДЕННОГО,Санкт-Петербургское ш.,"162,163,200,201,210,359,","59.852684,30.089191"
3875,Автобус,Остановка,"ПР. БУДЕННОГО [210, 200, 229]<",ПР. БУДЕННОГО,Санкт-Петербургское ш.,"162,163,200,201,210,229,","59.852968,30.091580"
3876,Трамвай,Остановка,Пр. Будённого Т ,Пр. Будённого,"проспект Будённого, Санкт-Петербургское шоссе",36,"59.852340,30.091890"
3877,Трамвай,Остановка,Пр. Будённого Т ,Пр. Будённого,"проспект Будённого, Санкт-Петербургское шоссе",36,"59.852260,30.091820"
3878,Автобус,Остановка,"ПР. БУДЕННОГО,ТРАМВАЙНАЯ ОСТАНОВКА [229, 359]","ПР. БУДЕННОГО,ТРАМВАЙНАЯ ОСТАНОВКА",Санкт-Петербургское ш.,"229,359,","59.850704,30.090433"
3879,Автобус,Остановка,"ПР. БУДЕННОГО,ТРАМВАЙНАЯ ОСТАНОВКА [229, 359]<","ПР. БУДЕННОГО,ТРАМВАЙНАЯ ОСТАНОВКА",Санкт-Петербургское ш.,"229,359,","59.851251,30.090708"
3880,Автобус,Остановка,ПР. ВЕТЕРАНОВ [165],ПР. ВЕТЕРАНОВ,"ул. Тамбасова, Ветеранов пр.","87,165,","59.835036,30.156638"
3881,Автобус,Остановка,ПР. ВЕТЕРАНОВ [165]<,ПР. ВЕТЕРАНОВ,"ул. Тамбасова, Ветеранов пр.","87,165,","59.834058,30.156314"
