Address,Title
"Нижний Новгород, ул.Композиторская, 3",Детский сад №278
"Нижний Новгород, ул.Ванеева, 19а",Детский сад №282
"Нижний Новгород, ул.Бекетова, 35",Детский сад №283
"Нижний Новгород, ул.Руковишниковых, 15",Детский сад №284
"Нижний Новгород, пер.Короткий, 9а",Детский сад №289
"Нижний Новгород, пр.Ленина, 50а",Детский сад №290
"Нижний Новгород, ул.Чугунова, 5б",Детский сад №294
"Нижний Новгород, ул.Сибирцева, 5а","Детский сад №296, структурное подразделение школы №122"
"Нижний Новгород, пер.Ермака, 2а",Детский сад №297
"Нижний Новгород, ул.Крылова, 4а",Детский сад №298
"Нижний Новгород, ул.Березовская, 8",Детский сад №300
"Нижний Новгород, ул.Полесская, 17",Детский сад №301
"Нижний Новгород. ул.Черняховского, 14а",Детский сад №302
"Нижний Новгород, ул.Баранова, 24",Детский сад №303
"Нижний Новгород, пр.Героев, 31а",Детский сад №304
"Нижний Новгород, ул.Терешковой, 3а",Детский сад №313
"Нижний Новгород, ул.Куйбышева, 31",Детский сад №314
"Нижний Новгород, ул.Сурикова, 8а",Детский сад №315
"Нижний Новгород, ул.Рябцева, 17",Детский сад №318
"Нижний Новгород, ул.Мирошникова, 9а",Детский сад №319
"Нижний Новгород, ул.Просвещенская, 9а",Детский сад №321
"Нижний Новгород, ул.Березовская, 74",Детский сад №322
"Нижний Новгород, ул.Римского-Корсакова, 38а","Детский сад №323, здание №1"
"Нижний Новгород, ул.Новосоветская, 11","Детский сад №323, здание №2 (бывший детский сад №91)"
"Нижний Новгород, ул.Сухопутная, 4",Детский сад №325
"Нижний Новгород, ул.Мокроусова, 19",Детский сад №332
"Нижний Новгород, ул.Глеба Успенского, 1а",Детский сад №340
"Нижний Новгород, ул.Смирнова, 29",Детский сад №341
"Нижний Новгород, ул.Бекетова, 49б",Детский сад №342
"Нижний Новгород, ул.Невская, 27",Детский сад №343
"Нижний Новгород, пос.Черепичный, 19","Детский сад №344, структурное подразделение школы №48"
"Нижний Новгород, ул.Красных Зорь, 11а",Детский сад №345
"Нижний Новгород, ул.Березовская, 63",Детский сад №346
"Нижний Новгород, ул.Электровозная, 8",Детский сад №352
"Нижний Новгород, ул.Чаадаева, 24",Детский сад №355
"Нижний Новгород, ул.Энгельса, 5а",Детский сад №360
"Нижний Новгород, ул.Григорьева, 1",Детский сад №361
"Нижний Новгород, ул.Силикатная, 1",Детский сад №363
"Нижний Новгород, ул.Энгельса, 25",Детский сад №364
"Нижний Новгород, ул.Баренца, 4а",Детский сад №365
"Нижний Новгород, пр.Ленина, 49а",Детский сад №368
"Нижний Новгород, ул.Паскаля, 4",Детский сад №369
"Нижний Новгород, ул.Батумская, 6а",Детский сад №379
"Нижний Новгород, ул.Баренца, 7б",Детский сад №382
"Нижний Новгород, ул.Мечникова, 38",Детский сад №385
"Нижний Новгород, ул.Комарова, 1а",Детский сад №386
"Нижний Новгород, ул.Гаугеля, 15",Детский сад №388
"Нижний Новгород, ул.Шаляпина, 20а",Детский сад №389
"Нижний Новгород, ул.Мечникова, 44",Детский сад №390
"Нижний Новгород, ул.Островского, 40",Детский сад №391
"Нижний Новгород, пер.Кустовой, 7",Детский сад №392
"Нижний Новгород, ул.Исполкома, 2","Детский сад №393, здание №1"
"Нижний Новгород, ул.Ефремова, 9а","Детский сад №393, здание №2 (бывший детский сад №41)"
"Нижний Новгород, ул.Героев Космоса, 47",Детский сад №394
"Нижний Новгород, ул.Н.Сусловой, 15/2",Детский сад №395
"Нижний Новгород, ул.Гаугеля, 36",Детский сад №396
